numberThread numberMessages shift timePrecessingRing throughputRing latencyChain
5 10000000 4 5064.7692627999995 1974423.6076949367 154.16696764295205
5 10000000 4 4910.4326898 2036480.4146021795 817.8762177191971
5 10000000 4 4966.1062998 2013650.0099489877 252.83073279247867
5 10000000 4 5032.2630364 1987177.5238429983 201.11959599983038
5 10000000 4 4807.1297366 2080243.4192410265 449.4544867384541
5 10000000 4 4791.965417200001 2086826.412416622 437.48568642571075
5 10000000 4 5224.7119928 1913981.098629104 199.88724691238193
5 10000000 4 5057.847706400001 1977125.5641695964 252.24701447924267
5 10000000 4 4976.0707204 2009617.7409625226 215.82462440143743
5 10000000 4 4959.863833400001 2016184.382454099 196.9949034160907
6 10000002 5 4973.251957833333 2010757.1634791335 281.4456274598539
6 10000002 5 5801.8180145 1723598.0127277053 354.50988037159493
6 10000002 5 5666.925781833334 1764625.5456631111 389.2430289552573
6 10000002 5 5056.951108833334 1977476.504080154 286.7770039539507
6 10000002 5 5060.503198166666 1976088.4655942575 362.8299179830182
6 10000002 5 4851.349473166666 2061282.5473223655 282.25242254726027
6 10000002 5 5116.9727766666665 1954280.8680944887 313.31733322782
6 10000002 5 4998.890178833332 2000444.4271135905 542.5880403920968
6 10000002 5 5038.519632666666 1984710.337370947 536.6337345170463
6 10000002 5 5050.953096833334 1979824.7594636038 332.6539816421085
7 10000004 6 4886.225203714285 2046570.4266758836 500.27299620548945
7 10000004 6 4859.466568285714 2057839.8594740669 455.8437019432115
7 10000004 6 5116.915124285714 1954303.277875052 333.35395785792855
7 10000004 6 4979.7780221428575 2008122.4415093265 625.7053896095989
7 10000004 6 4982.896358428572 2006865.7424682307 431.20240044396485
7 10000004 6 4731.022091714286 2113709.0053994013 748.7983651071366
7 10000004 6 4885.521870857143 2046865.056454152 443.9201781904007
7 10000004 6 5046.263599428571 1981665.0087665615 580.1125821678191
7 10000004 6 5043.628465714285 1982700.3650205997 577.0892332998246
7 10000004 6 4809.890032857142 2079050.442253013 499.8186292557409
8 10000000 7 4694.58323975 2130114.5361164217 797.9879525868234
8 10000000 7 4606.629747624999 2170784.401580269 1066.3821211728534
8 10000000 7 4882.280106374999 2048223.3264213125 778.9497485333593
8 10000000 7 4619.6992712500005 2164643.0671869675 527.0770584154112
