numberThread numberMessages shift timePrecessingRing throughputRing throughputChain latencyChain minTimeWorkThread maxTimeWorkThread percentWork
9 10000000 4 4175 2395209.5808383236 266134.39787092485 109 1413 4716 1.0
9 10000000 8 4311 2319647.413593134 257738.6015103482 508 2066 4926 1.0
12 10000000 4 1522 6570302.23390276 547525.1861585634 136 864 1867 1.0
12 10000000 8 5162 1937233.6303758232 161436.13586465194 466 4449 5639 1.0
9 10000000 4 1630 6134969.325153375 681663.258350375 80 1227 1839 1.0
9 10000000 8 5732 1744591.7655268665 193843.52950298518 403 4626 6343 1.0
12 10000000 4 1653 6049606.775559588 504133.897963299 104 1247 1972 1.0
12 10000000 8 2641 3786444.528587656 315537.0440489713 308 1774 3160 1.0
9 10000000 4 1968 5081300.8130081305 564588.9792231256 133 1388 2260 1.0
9 10000000 8 3517 2843332.3855558718 315925.8206173191 464 2372 4290 1.0
12 10000000 4 1694 5903187.721369539 491932.3101141283 65 1090 1988 1.0
12 10000000 8 2985 3350083.7520938027 279173.6460078169 190 2324 3445 1.0
9 10000000 4 1835 5449591.280653951 605510.1422948834 38 1579 2119 1.0
9 10000000 8 3397 2943773.9181630854 327085.99090700946 314 2819 3887 1.0
12 10000000 4 1569 6373486.297004461 531123.8580837051 74 1335 1736 1.0
12 10000000 8 2656 3765060.2409638553 313755.0200803213 243 1516 3132 1.0
9 10000000 4 2595 3853564.5472061653 428173.83857846283 63 1443 2983 1.0
9 10000000 8 3488 2866972.4770642202 318552.49745158 262 3004 3766 1.0
12 10000000 4 1430 6993006.993006993 582750.5827505827 91 1042 1925 1.0
12 10000000 8 3184 3140703.5175879397 261725.2931323283 296 1645 3837 1.0
9 10000000 4 1666 6002400.960384154 666933.4400426837 112 1253 2042 1.0
9 10000000 8 3357 2978850.163836759 330983.3515374177 334 3021 3850 1.0
12 10000000 4 1568 6377551.020408163 531462.5850340136 94 1380 1736 1.0
12 10000000 8 2630 3802281.368821293 316856.7807351078 213 2097 2959 1.0
9 10000000 4 2222 4500450.0450045 500050.0050005 90 1739 2445 1.0
9 10000000 8 2830 3533568.9045936395 392618.7671770711 277 2436 3270 1.0
12 10000000 4 1261 7930214.115781127 660851.1763150939 97 946 1578 1.0
12 10000000 8 2983 3352329.869259135 279360.82243826124 161 2208 3331 1.0
9 10000000 4 1791 5583472.920156337 620385.8800173708 45 1526 2061 1.0
9 10000000 8 3240 3086419.75308642 342935.5281207133 458 2690 3822 1.0
12 10000000 4 1438 6954102.920723227 579508.5767269356 108 1213 1579 1.0
12 10000000 8 2411 4147656.5740356697 345638.0478363058 293 1608 2876 1.0
9 10000000 4 1938 5159958.720330237 573328.7467033598 106 1574 2117 1.0
9 10000000 8 3471 2881014.1169691733 320112.6796632415 286 2745 4003 1.0
12 10000000 4 1369 7304601.899196493 608716.8249330411 81 1067 1592 1.0
12 10000000 8 3324 3008423.5860409145 250701.96550340953 389 2217 4181 1.0
9 10000000 4 2036 4911591.355599214 545732.3728443572 85 1689 2273 1.0
9 10000000 8 2993 3341129.301703976 371236.58907821955 236 2051 3621 1.0
12 10000000 4 1447 6910850.03455425 575904.1695461875 107 1190 1703 1.0
12 10000000 8 2435 4106776.1806981517 342231.34839151264 258 1874 2822 1.0
