numberThread numberMessages shift timePrecessingRing throughputRing throughputChain latencyChain minTimeWorkThread maxTimeWorkThread percentWork
8 10000000 3 2818 3548616.0397444996 443577.00496806245 69 1987 3288 1.0
11 10000000 3 3520 2840909.090909091 258264.46280991734 214 1210 3943 1.0
8 10000000 3 1590 6289308.176100628 786163.5220125786 85 1361 1731 1.0
11 10000000 3 2582 3872966.692486445 352087.88113513135 30 1092 4311 1.0
8 10000000 3 1399 7147962.8305932805 893495.3538241601 98 1311 1584 1.0
11 10000000 3 1217 8216926.869350863 746993.3517591694 83 984 1463 1.0
8 10000000 3 1836 5446623.093681917 680827.8867102396 35 1404 2048 1.0
11 10000000 3 1194 8375209.380234506 761382.6709304097 77 993 1395 1.0
8 10000000 3 1689 5920663.114268797 740082.8892835997 88 1395 1928 1.0
11 10000000 3 1294 7727975.270479134 702543.206407194 91 1034 1444 1.0
8 10000000 3 1636 6112469.437652812 764058.6797066015 95 1275 1922 1.0
11 10000000 3 1207 8284965.202982601 753178.6548166 79 1017 1385 0.9999953
8 10000000 3 1483 6743088.334457181 842886.0418071477 89 1089 1862 1.0
11 10000000 3 1183 8453085.376162298 768462.3069238453 91 1066 1520 1.0
8 10000000 3 1592 6281407.0351758795 785175.8793969849 67 1394 1778 1.0
11 10000000 3 1141 8764241.893076248 796749.2630069316 92 908 1256 1.0
8 10000000 3 1620 6172839.50617284 771604.938271605 80 1392 1973 1.0
11 10000000 3 1127 8873114.463176575 806646.7693796885 114 1004 1343 1.0
8 10000000 3 1686 5931198.102016607 741399.7627520759 115 1240 2075 1.0
11 10000000 3 1419 7047216.3495419305 640656.0317765392 60 1138 1607 1.0
