numberThread numberMessages shift timePrecessingRing throughputRing throughputChain latencyChain minTimeWorkThread maxTimeWorkThread percentWork
15 11250000 3 2811 4002134.47171825 266808.96478121664 11 2362 3017 1.0
20 15000000 3 5914 2536354.413256679 126817.72066283396 586 3852 6432 1.0
15 11250000 3 1788 6291946.308724832 419463.08724832215 172 894 2287 1.0
20 15000000 3 6170 2431118.3144246354 121555.91572123177 752 3292 8522 1.0
15 11250000 3 4927 2283336.7160543944 152222.4477369596 177 1218 6906 1.0
20 15000000 3 6133 2445785.097016142 122289.2548508071 653 3616 7658 1.0
15 11250000 3 5670 1984126.9841269841 132275.1322751323 158 5449 5908 1.0
20 15000000 3 7704 1947040.4984423677 97352.02492211838 798 5779 8707 1.0
15 11250000 3 5100 2205882.352941177 147058.82352941178 571 1309 6298 1.0
20 15000000 3 4551 3295978.9057350033 164798.94528675015 484 1003 5378 1.0
15 11250000 3 1288 8734472.04968944 582298.1366459627 110 835 1583 1.0
20 15000000 3 5613 2672367.717797969 133618.38588989846 401 4597 7840 1.0
15 11250000 3 4018 2799900.447984072 186660.0298656048 209 1202 6358 1.0
20 15000000 3 7296 2055921.0526315789 102796.05263157895 459 3376 11357 1.0
15 11250000 3 5067 2220248.6678507994 148016.57785671996 334 4661 5442 1.0
20 15000000 3 4488 3342245.9893048126 167112.29946524062 560 1118 6044 1.0
15 11250000 3 5862 1919140.2251791197 127942.68167860799 93 5595 6113 1.0
20 15000000 3 7477 2005948.2412732379 100297.41206366189 489 3670 9459 0.9998983333333333
15 11250000 3 5375 2093023.2558139535 139534.88372093023 278 4862 5797 1.0
20 15000000 3 5567 2694449.434165619 134722.47170828094 541 3433 6141 1.0
