numberThread numberMessages shift timePrecessingRing throughputRing throughputChain latencyChain minTimeWorkThread maxTimeWorkThread percentWork
6 10000000 5 5450 1834862.385321101 305810.39755351684 248 2391 7575 1.0
6 10000000 5 4650 2150537.634408602 358422.93906810036 349 2490 5945 1.0
6 10000000 5 2719 3677822.728944465 612970.4548240775 211 1660 3244 1.0
6 10000000 5 4661 2145462.347135808 357577.05785596796 393 2971 5635 1.0
6 10000000 5 3013 3318951.211417192 553158.5352361987 397 2704 3398 1.0
6 10000000 5 2452 4078303.425774878 679717.2376291463 197 2116 2816 1.0
6 10000000 5 5932 1685772.0836142953 280962.0139357159 433 5585 6274 1.0
6 10000000 5 5276 1895375.2843062927 315895.8807177154 512 2399 6106 1.0
6 10000000 5 2772 3607503.607503608 601250.6012506014 253 2435 2975 1.0
6 10000000 5 6329 1580028.4405119293 263338.0734186549 476 5920 6826 1.0
