numberThread numberMessages shift timePrecessingRing throughputRing throughputChain latencyChain minTimeWorkThread maxTimeWorkThread percentWork
11 10000000 3 2137 4679457.182966776 425405.1984515251 58 896 2509 1.0
11 13750000 3 4246 3238341.968911917 294394.7244465379 318 1418 4873 1.0
11 10000000 3 1295 7722007.722007723 702000.702000702 45 828 1560 1.0
11 13750000 3 2068 6648936.170212766 604448.7427466151 41 1627 2369 1.0
11 10000000 3 1389 7199424.046076314 654493.0950978467 99 1155 1528 1.0
11 13750000 3 4558 3016673.979815709 274243.0890741554 109 4177 4889 1.0
11 10000000 3 1489 6715916.722632639 610537.8838756945 69 1181 1751 1.0
11 13750000 3 5193 2647795.1088003083 240708.64625457348 152 2402 5749 1.0
11 10000000 3 4256 2349624.0601503756 213602.1872863978 283 906 4659 1.0
11 13750000 3 5025 2736318.407960199 248756.21890547263 179 2331 5657 1.0
11 10000000 3 1352 7396449.704142012 672404.5185583647 87 1159 1553 1.0
11 13750000 3 5068 2713101.81531176 246645.61957379637 116 1965 5617 1.0
11 10000000 3 1468 6811989.100817439 619271.736437949 101 1030 1685 1.0
11 13750000 3 5242 2623044.6394505915 238458.60358641742 275 1574 5799 1.0
11 10000000 3 1475 6779661.016949153 616332.8197226502 101 1202 1668 1.0
11 13750000 3 5945 2312867.9562657694 210260.72329688814 326 1826 8257 1.0
11 10000000 3 1849 5408328.826392645 491666.2569447859 44 1456 2083 1.0
11 13750000 3 6057 2270100.7099224036 206372.7918111276 95 4179 7243 1.0
11 10000000 3 1597 6261740.763932373 569249.1603574884 67 1209 1798 1.0
11 13750000 3 4977 2762708.4589109905 251155.31444645367 220 3732 6752 1.0
