numberThread numberMessages shift timePrecessingRing throughputRing latencyChain
38 10000004 5 4974.2113969473685 2010369.7253673049 1352.3487722569612
38 10000004 5 5387.137688210527 1856274.0696018394 2216.868199181098
38 10000004 5 5633.789368210527 1775004.9471899804 1880.0833331151516
39 10000029 5 4117.2542680000015 2428810.160626202 1441.7244221291755
39 10000029 5 4500.682574974358 2221891.6427486497 1516.2472523779131
39 10000029 5 4177.185318102565 2393963.455885742 1217.422446424169
39 10000029 5 4175.861826025641 2394722.195470123 1355.304621669374
40 10000000 5 4309.222782125 2320604.0870016743 1453.1669477787634
40 10000000 5 4509.0181219999995 2217777.7355138343 1019.0480808048426
40 10000000 5 4234.5144791249995 2361545.827578881 1563.55014350165
40 10000000 5 4200.375783075001 2380739.3710567546 1347.6252674306058
41 10000023 5 4205.27389504878 2377971.8633247316 1238.0693173066202
41 10000023 5 4174.724790317074 2395372.9891834357 1705.6274501513797
41 10000023 5 4184.59653695122 2389722.142074356 1567.1607148450285
41 10000023 5 4170.262439487804 2397936.135939736 1160.5401304366258
42 10000032 5 4111.800394404761 2432032.453133621 1846.2661648142555
42 10000032 5 4181.216189761905 2391656.289977544 1518.0952979182252
42 10000032 5 4254.057402904761 2350704.5281457095 1574.176261647174
42 10000032 5 4191.101484738095 2386015.236427736 1622.3574411072589
43 10000037 5 4237.231469558138 2360040.2932537487 1557.1824739467215
43 10000037 5 4220.896176488372 2369173.8867454585 1168.0843925887605
43 10000037 5 4320.120040325582 2314759.0591594665 1573.3363224302634
43 10000037 5 4092.7416002325576 2443358.994233053 1533.079899145965
44 10000012 5 4179.148736886364 2392834.67270189 1646.597082205591
44 10000012 5 4115.52087775 2429829.005136068 1517.6206562268699
44 10000012 5 4168.646615886362 2398862.9695524666 1721.194560593456
44 10000012 5 4047.7831382272725 2470491.0462123984 1188.1665864554175
45 10000035 5 4221.505688666665 2368831.345376783 1292.7360196561247
45 10000035 5 4278.269580288888 2337401.7958271694 1352.3600140703015
45 10000035 5 4137.697800422221 2416811.348325045 1607.1013416046328
45 10000035 5 4298.783962844444 2326247.396108531 1588.1501693933
46 10000032 5 4240.955863565217 2357966.534363632 1162.4791643652477
46 10000032 5 3971.5746550217395 2517901.051502521 1323.1337228498564
46 10000032 5 4156.439474456522 2405913.0564646465 1718.5592145789158
46 10000032 5 4375.621376456523 2285397.007567015 1562.3424020254897
47 10000002 5 4317.57994093617 2316112.761500306 1817.7975707890428
47 10000002 5 4213.663073382979 2373232.464448422 1556.2940746095953
47 10000002 5 4090.259684531915 2444833.035373496 1807.8706961212865
47 10000002 5 4313.725818148935 2318182.105577379 1958.0520686895775
48 10000032 5 4196.96044825 2382684.3553337986 1582.6969767002904
48 10000032 5 4132.59252875 2419796.273266928 1373.297253469736
48 10000032 5 4267.281894625 2343419.5928316526 1609.7682134908787
48 10000032 5 4112.2579845833325 2431761.8295081835 1203.3511443701204
49 10000018 5 4138.967850142858 2416065.6381167215 1279.158104573591
49 10000018 5 4290.078379816327 2330963.939271463 1913.0807012609052
49 10000018 5 4171.173594530612 2397411.1298346277 1184.649322695284
49 10000018 5 4458.227468612244 2243047.9535654564 1762.2368094755843
50 10000000 5 4044.479592359999 2472505.9854152678 1213.8310823267798
50 10000000 5 4215.8094255 2372023.730369166 1474.7585742923145
50 10000000 5 4079.5923872000003 2451225.282058983 998.5957983595158
50 10000000 5 3952.8335269599984 2529830.7990447273 1202.6863037163778
51 10000029 5 4120.046536333332 2427164.0894861356 1338.2059560437167
51 10000029 5 4152.268356058824 2408329.1691415748 1162.6765976880629
51 10000029 5 4462.844620176473 2240729.8149682325 1266.8727750775315
51 10000029 5 4394.584280274509 2275534.695030435 1642.0606129430832
52 10000016 5 4026.4683449807685 2483570.003093558 1816.332370618857
52 10000016 5 4193.011594653846 2384924.480712186 1513.8189990768644
52 10000016 5 4053.994658653845 2466706.7527219118 1353.2814470246785
52 10000016 5 4099.578489211539 2439279.068888684 1554.1357746579386
53 10000040 5 4136.90317690566 2417276.78226201 1232.2834071661568
53 10000040 5 4293.607397018869 2329053.188920629 1759.8883142150542
53 10000040 5 4129.6524988113215 2421520.9398075044 1649.924795855464
53 10000040 5 4250.631323132075 2352601.1172927315 1418.7800543950095
54 10000044 5 4451.863099185186 2246260.4480875176 1545.6172163539925
54 10000044 5 4330.90728874074 2308995.167363101 1677.419977366632
54 10000044 5 4178.544333685185 2393188.441100171 1325.9501601719755
54 10000044 5 4186.03869862963 2388903.8587420806 1671.8766452750247
55 10000045 5 4423.04004670909 2260898.588842851 1513.3717885030358
55 10000045 5 4277.607797581819 2337765.749738239 1095.0716067384624
55 10000045 5 4243.474756981819 2356569.9274036814 1678.177574963592
55 10000045 5 4251.107094527272 2352338.9972634916 1319.043617203497
56 10000032 5 4122.7039163392865 2425600.3348597074 1821.2524439559238
56 10000032 5 4199.748331392856 2381102.6782844076 1411.3007371546844
56 10000032 5 4086.9623561964295 2446812.8474045023 1458.6327743479967
56 10000032 5 4082.5396605714295 2449463.5279551223 1207.8162718029125
57 10000023 5 4373.158082561405 2286682.2582692644 1495.8623690744257
57 10000023 5 4172.045124894737 2396911.5147699434 1568.8227071076851
57 10000023 5 4083.514105175439 2448876.8111088406 1940.3279312781872
57 10000023 5 4205.164932140351 2378033.4805822163 1942.843049889866
58 10000012 5 4001.8269244137928 2498861.6921419837 1366.1516807907212
58 10000012 5 4321.373575448276 2314081.8134342046 1349.4121911271634
58 10000012 5 4209.482499758623 2375591.774184454 1717.0667118693577
58 10000012 5 4285.886980517241 2333242.114282993 1513.4558833618264
59 10000028 5 4154.594870728812 2406980.297996123 1277.4505428635582
59 10000028 5 4285.768504423729 2333310.347882315 1743.0051625803515
59 10000028 5 3841.8109410338984 2602946.410816566 1275.0786438624843
59 10000028 5 3968.370694474576 2519932.9321536664 980.3931776620125
60 10000020 5 4313.981964583333 2318048.633976117 1549.9227792832517
60 10000020 5 4266.332433216666 2343938.3021684354 1697.3511576136507
60 10000020 5 4249.7751844333325 2353070.3545518043 1626.7313585444786
60 10000020 5 4173.64873015 2395989.8512208047 1335.9667840741356
61 10000035 5 4112.896586131147 2431384.983935779 1266.9379975837599
61 10000035 5 4239.749424754101 2358638.2114032567 1531.6375628552487
61 10000035 5 4008.3399344426225 2494807.1180471247 1266.8291492443586
61 10000035 5 4377.53782252459 2284397.1669519087 1477.0164925434665
62 10000042 5 4456.209396758063 2244069.1425486268 1927.1413727879271
62 10000042 5 4312.8662417741925 2318653.405742132 1628.625322770249
62 10000042 5 3975.1388190322596 2515645.9825054593 1054.8107536996822
62 10000042 5 4385.602218629034 2280198.1350524933 1836.1509391508066
63 10000053 5 4343.780612968252 2302154.2501813015 1587.790189540351
63 10000053 5 4222.040585603174 2368535.497763663 1613.9801137397112
63 10000053 5 4073.171213206348 2455102.54211192 1422.5124482331678
63 10000053 5 3912.378785476191 2556003.277883753 1134.684257830596
64 10000000 5 4250.650900312501 2352580.87161776 1619.0256219578812
64 10000000 5 4219.017785218751 2370219.920625794 1404.940928543393
64 10000000 5 4131.689922734375 2420317.1552094463 1721.6659126404359
64 10000000 5 4112.8039913124985 2431431.213625318 1640.009934448826
65 10000055 5 4041.140946507693 2474562.2912860615 1842.434314691668
65 10000055 5 4100.846918738461 2438534.087752855 1714.7759167432941
65 10000055 5 4275.222399738463 2339072.465706522 1796.559653660446
65 10000055 5 4092.89092826154 2443274.2468042104 1178.1661416203253
66 10000056 5 4241.577910954543 2357626.3857309516 1950.6015901130888
66 10000056 5 3946.0400969848483 2534200.3006104776 1183.0679664822244
66 10000056 5 4479.408187469697 2232450.2660805234 1427.2202996317005
66 10000056 5 4570.432666348485 2187988.912653531 1782.8370082458437
67 10000018 5 4056.110770074628 2465420.3415199164 1713.6310262127874
67 10000018 5 4221.70144535821 2368717.4778773356 2080.5883232825236
67 10000018 5 4268.090308238806 2342972.448520291 1780.786070582896
67 10000018 5 4347.478620492539 2300187.964781082 1625.7245194521724
68 10000012 5 4200.105504691177 2380895.4296102324 1928.9307765942601
