 numberThread numberMessages shift timePrecessingRing throughputRing throughputChain latencyChain minTimeWorkThread maxTimeWorkThread percentWork
 6 1000000 5 388 2577319.587628866 429553.26460481103 14 369 411 1.0
 6 1000000 5 410 2439024.390243903 406504.0650406505 3 369 438 1.0
 6 1000000 5 454 2202643.1718061673 367107.1953010279 12 406 481 1.0
 6 1000000 5 491 2036659.8778004074 339443.3129667346 20 442 541 1.0
 6 1000000 5 312 3205128.205128205 534188.0341880341 34 243 371 1.0
 6 1000000 5 253 3952569.169960474 658761.5283267457 29 222 292 1.0
 6 1000000 5 233 4291845.493562232 715307.582260372 14 199 253 1.0
 6 1000000 5 204 4901960.784313726 816993.4640522877 17 197 211 1.0
 6 1000000 5 252 3968253.9682539683 661375.6613756614 23 220 290 1.0
 6 1000000 5 323 3095972.13622291 515995.3560371517 25 286 354 0.999999
 6 1000000 5 404 2475247.5247524753 412541.25412541255 10 369 436 1.0
 6 1000000 5 503 1988071.5705765407 331345.2617627568 6 472 530 1.0
 6 1000000 5 412 2427184.4660194176 404530.7443365696 17 379 438 1.0
 6 1000000 5 310 3225806.4516129033 537634.4086021505 36 253 345 1.0
 6 1000000 5 290 3448275.8620689656 574712.643678161 13 239 326 1.0
 6 1000000 5 288 3472222.2222222225 578703.7037037037 22 250 334 1.0
 6 1000000 5 295 3389830.5084745763 564971.7514124294 23 258 338 1.0
 6 1000000 5 317 3154574.1324921134 525762.3554153523 16 293 349 1.0
 6 1000000 5 385 2597402.5974025973 432900.4329004329 12 368 407 1.0
 6 1000000 5 444 2252252.2522522523 375375.3753753754 25 424 495 1.0
 6 1000000 5 513 1949317.738791423 324886.2897985705 7 498 531 1.0
 6 1000000 5 299 3344481.6053511705 557413.6008918617 17 234 340 1.0
 6 1000000 5 205 4878048.780487806 813008.130081301 32 173 254 1.0
 6 1000000 5 242 4132231.404958678 688705.2341597796 23 196 280 1.0
 6 1000000 5 187 5347593.582887701 891265.5971479501 14 179 200 1.0
 6 1000000 5 262 3816793.8931297706 636132.3155216285 23 237 287 1.0
 6 1000000 5 362 2762430.9392265193 460405.15653775324 8 348 371 1.0
 6 1000000 5 430 2325581.395348837 387596.89922480617 21 355 475 1.0
 6 1000000 5 453 2207505.518763797 367917.5864606328 24 419 496 1.0
 6 1000000 5 442 2262443.438914027 377073.9064856712 15 400 469 1.0
 6 1000000 5 399 2506265.664160401 417710.9440267335 18 324 438 1.0
 6 1000000 5 208 4807692.307692308 801282.0512820514 19 189 226 1.0
 6 1000000 5 221 4524886.877828054 754147.8129713424 20 203 265 1.0
 6 1000000 5 237 4219409.282700422 703234.8804500704 23 198 297 1.0
 6 1000000 5 246 4065040.650406504 677506.7750677507 33 222 289 1.0
 6 1000000 5 196 5102040.816326531 850340.1360544218 27 161 232 1.0
 6 1000000 5 245 4081632.6530612246 680272.1088435374 28 219 276 1.0
 6 1000000 5 278 3597122.3021582733 599520.3836930456 24 200 335 1.0
 6 1000000 5 300 3333333.3333333335 555555.5555555556 22 254 347 1.0
 6 1000000 5 344 2906976.7441860465 484496.12403100776 14 284 382 1.0
 6 1000000 5 342 2923976.6081871344 487329.43469785573 14 279 369 1.0
 6 1000000 5 419 2386634.844868735 397772.47414478916 11 409 435 1.0
 6 1000000 5 467 2141327.6231263382 356887.93718772306 17 420 510 1.0
 6 1000000 5 484 2066115.702479339 344352.6170798898 20 462 523 1.0
 6 1000000 5 490 2040816.3265306123 340136.0544217687 25 447 533 1.0
 6 1000000 5 479 2087682.6722338204 347947.11203897005 17 448 500 1.0
 6 1000000 5 277 3610108.303249097 601684.7172081828 26 231 320 1.0
 6 1000000 5 216 4629629.62962963 771604.938271605 19 196 259 1.0
 6 1000000 5 254 3937007.874015748 656167.9790026246 19 192 298 1.0
 6 1000000 5 286 3496503.496503497 582750.5827505828 25 245 317 1.0
 6 1000000 5 233 4291845.493562232 715307.582260372 20 206 272 1.0
 6 1000000 5 259 3861003.861003861 643500.6435006434 21 233 291 1.0
 6 1000000 5 256 3906250.0 651041.6666666666 20 215 284 1.0
 6 1000000 5 272 3676470.588235294 612745.0980392157 40 244 333 1.0
 6 1000000 5 287 3484320.5574912895 580720.092915215 25 246 312 1.0
 6 1000000 5 265 3773584.9056603773 628930.8176100629 14 236 294 1.0
 6 1000000 5 311 3215434.083601286 535905.6806002144 18 263 349 1.0
 6 1000000 5 368 2717391.304347826 452898.5507246377 11 336 391 1.0
 6 1000000 5 380 2631578.947368421 438596.49122807017 29 307 422 1.0
 6 1000000 5 451 2217294.9002217297 369549.15003695496 17 393 509 1.0
 6 1000000 5 438 2283105.02283105 380517.503805175 12 390 451 1.0
 6 1000000 5 472 2118644.0677966103 353107.34463276836 12 433 511 1.0
 6 1000000 5 524 1908396.9465648853 318066.15776081424 23 492 580 1.0
 6 1000000 5 427 2341920.37470726 390320.06245121005 17 322 491 1.0
 6 1000000 5 304 3289473.6842105263 548245.6140350878 39 275 320 1.0
 6 1000000 5 232 4310344.827586207 718390.8045977011 17 193 263 1.0
 6 1000000 5 254 3937007.874015748 656167.9790026246 26 228 298 1.0
 6 1000000 5 262 3816793.8931297706 636132.3155216285 35 194 289 1.0
 6 1000000 5 288 3472222.2222222225 578703.7037037037 31 250 315 1.0
 6 1000000 5 247 4048582.995951417 674763.8326585694 22 193 289 1.0
 6 1000000 5 264 3787878.7878787876 631313.1313131313 30 226 302 1.0
