numberThread numberMessages shift timePrecessingRing throughputRing latencyChain
12 10000008 5 5345.855996083333 1870609.3107121768 398.35184204771707
12 10000008 5 4917.661431 2033488.50674466 470.6563208926057
12 10000008 5 4649.929280083333 2150572.061995056 496.44245577080346
12 10000008 5 4756.054396416666 2102584.8668876165 845.4352690370124
12 10000008 5 4797.682334916667 2084341.4177761928 397.70925703799065
12 10000008 5 4634.596695833333 2157686.7754189624 557.2316256733098
12 10000008 5 4950.008476666667 2020200.1768558589 396.52644400924066
12 10000008 5 4980.730980666666 2007739.0324465 397.8538730534018
12 10000008 5 4976.984682000001 2009250.3069512155 428.0611904396779
12 10000008 5 4894.427093416666 2043141.6811685038 461.9137570481352
12 10000008 5 4890.510706083333 2044777.8567504075 440.9835397526538
12 10000008 5 4814.730458166666 2076961.1272917995 501.47596464258623
12 10000008 5 4727.767700416667 2115164.8375445097 743.1278514012153
12 10000008 5 4723.783851166667 2116948.682469928 596.4192954259655
12 10000008 5 4863.147756333334 2056282.988107214 428.6115714158321
12 10000008 5 4750.6155405 2104992.0615018876 732.283498785336
12 10000008 5 4873.5687830000015 2051886.0911293712 543.8299977965999
12 10000008 5 4832.218754333334 2069444.3915711404 514.8584418336709
12 10000008 5 5082.1361514166665 1967678.098748389 483.5124544283398
12 10000008 5 5063.405521583333 1974956.9647095904 583.4273603134856
12 10000008 5 4949.887028333334 2020249.7436324486 532.7500183367948
12 10000008 5 5028.2597395 1988761.2251698 553.3013688315575
12 10000008 5 5075.884820833334 1970101.441024867 577.2195176348572
12 10000008 5 4822.465174749999 2073629.9045473996 675.3729946535808
12 10000008 5 4873.155647583334 2052060.045518789 565.9257616596411
12 10000008 5 4882.052288916667 2048320.543944648 534.8859407271464
12 10000008 5 5005.829787666667 1997672.3988174668 451.8894058562365
12 10000008 5 4933.762701833332 2026852.243275524 608.617050170736
12 10000008 5 4960.97311425 2015735.173261829 523.1504246750576
12 10000008 5 4926.207768833333 2029960.6653351304 558.3056575597564
12 10000008 5 5235.783525 1909935.3424853447 493.11996848893057
12 10000008 5 4875.761898 2050963.1539025577 535.1764484526697
12 10000008 5 5136.747357416666 1946758.7763609868 444.51865743195305
12 10000008 5 5110.515008 1956751.518065398 589.8903241918241
12 10000008 5 5229.283417166666 1912309.4317611514 341.1168517241281
12 10000008 5 5003.555024083334 1998580.599567211 681.0865469738709
12 10000008 5 4935.6564164166675 2026074.5798144718 580.2984164325893
12 10000008 5 5077.569934333333 1969447.6155576508 611.7441686456962
12 10000008 5 5097.12070775 1961893.5028937662 576.2750872994359
12 10000008 5 5165.720953666667 1935839.757837078 505.38325166060474
12 10000008 5 5003.914948 1998436.8447343165 735.8115863371153
12 10000008 5 4962.12984275 2015265.2826307386 537.4306818798826
12 10000008 5 5153.35254 1940485.9113325865 554.0059493577846
12 10000008 5 5329.726805916666 1876270.278787786 684.2836304939593
12 10000008 5 5188.625331583334 1927294.2949126856 573.9858496170143
12 10000008 5 5121.400686666667 1952592.3886476145 400.37242347277925
12 10000008 5 5028.988326583333 1988473.098483796 552.5212945468728
12 10000008 5 5056.012589916666 1977844.7585243892 604.6750083209315
12 10000008 5 5051.191174166667 1979732.6324022524 484.0370256898803
12 10000008 5 5160.806434666666 1937683.214163388 546.7142668259859
12 10000008 5 5147.822039 1942570.64914827 560.1488471241587
12 10000008 5 5028.900646666666 1988507.7679210785 516.0973063646261
12 10000008 5 5058.805749166667 1976752.715133862 469.2920243561694
12 10000008 5 5281.205822416668 1893508.4782255313 507.39278090524385
12 10000008 5 5139.14043975 1945852.2523829807 670.0481466574705
12 10000008 5 5048.497407333334 1980788.9740567585 574.2195202618351
12 10000008 5 5215.162493666667 1917487.3289459506 458.99543626315455
12 10000008 5 5144.0723916666675 1943986.639107157 512.9994096376888
12 10000008 5 5211.13054875 1918970.9231903073 574.8898376233946
12 10000008 5 5078.202953916666 1969202.115541147 849.7437089210291
