numberThread numberMessages shift timePrecessingRing throughputRing throughputChain latencyChain minTimeWorkThread maxTimeWorkThread percentWork
6 10000000 5 950 1703767.3684210528 283961.22807017545 155 676 1005 0.1618579
6 10000000 5 2521 660975.8032526775 110162.63387544626 125 401 2946 0.166632
6 10000000 5 3738 1844655.4307116105 307442.57178526843 319 3407 4000 0.6895322
6 10000000 5 2905 3442340.7917383825 573723.4652897305 125 2424 3362 1.0
10 10000000 5 941 4338666.312433582 433866.6312433582 171 751 1000 0.4082685
10 10000000 5 1668 5300850.719424461 530085.071942446 170 1218 2000 0.8841819
10 10000000 5 1674 5973715.651135006 597371.5651135006 128 1427 1903 1.0
10 10000000 5 1796 5567928.730512249 556792.873051225 168 1504 2161 1.0
15 10000000 5 957 3536874.6081504705 235791.64054336472 160 715 1001 0.3384789
15 10000000 5 2000 4836481.0 322432.06666666665 166 1429 2382 0.9672962
15 10000000 5 1519 6583278.472679394 438885.23151195963 141 1037 1828 1.0
15 10000000 5 1917 5216484.0897235265 347765.60598156846 149 1675 2178 1.0
20 10000000 5 1129 2781483.6138175377 139074.18069087688 155 793 1170 0.3140295
20 10000000 5 1483 6743088.334457181 337154.4167228591 166 985 1815 1.0
20 10000000 5 1360 7352941.176470588 367647.0588235294 176 935 1720 1.0
20 10000000 5 1398 7153075.82260372 357653.791130186 176 938 1708 1.0
6 10000000 5 1001 2569392.6073926077 428232.10123210127 36 1001 1001 0.2571962
6 10000000 5 3022 83581.73395102582 13930.288991837637 15 3022 3022 0.0252584
6 10000000 5 2781 3595828.838547285 599304.8064245476 173 2502 3000 1.0
6 10000000 5 5537 1678713.7439046416 279785.62398410693 269 5056 6001 0.9295038
10 10000000 5 996 3266427.7108433736 326642.7710843374 56 948 1002 0.3253362
10 10000000 5 1695 5420801.179941003 542080.1179941003 290 1240 2000 0.9188258
10 10000000 5 2238 4468275.245755139 446827.5245755139 198 1633 2754 1.0
10 10000000 5 1967 5083884.087442806 508388.4087442806 87 1579 2333 1.0
15 10000000 5 1031 4124099.9030067897 274939.993533786 110 843 1047 0.4251947
15 10000000 5 1519 6425611.586570112 428374.1057713408 145 857 1971 0.9760504
15 10000000 5 1563 6397952.655150352 426530.17701002344 75 1018 1851 1.0
15 10000000 5 1493 6697923.643670462 446528.2429113641 181 940 2123 1.0
20 10000000 5 988 5399445.344129555 269972.26720647776 247 543 1074 0.5334652
20 10000000 5 1351 7401924.500370096 370096.22501850483 146 620 1671 1.0
20 10000000 5 1443 6930006.93000693 346500.3465003465 139 989 1796 1.0
20 10000000 5 1335 7490636.70411985 374531.8352059925 134 1034 1644 1.0
6 10000000 5 898 2591878.6191536747 431979.7698589458 218 388 1000 0.2327507
6 10000000 5 3054 75903.73280943026 12650.622134905045 22 3054 3055 0.023181
6 10000000 5 3059 3269042.170644001 544840.3617740002 162 2609 3505 1.0
6 10000000 5 5662 1593409.2193571175 265568.2032261863 321 5271 6003 0.9021883
10 10000000 5 979 3951244.126659857 395124.4126659857 46 883 1002 0.3868268
10 10000000 5 1682 4746444.114149822 474644.41141498217 126 1255 2004 0.7983519
10 10000000 5 1568 6377551.020408163 637755.1020408163 139 1125 1885 1.0
