numberThread numberMessages shift timePrecessingRing throughputRing throughputChain latencyChain minTimeWorkThread maxTimeWorkThread percentWork
10 10000000 5 1677 5963029.218843172 596302.9218843172 184 1281 2012 1.0
15 10000000 5 1063 3465576.669802446 231038.4446534964 144 717 1151 0.3683908
15 10000000 5 1678 5810008.9392133495 387333.92928089 136 919 2000 0.9749195
15 10000000 5 1642 6090133.982947625 406008.93219650834 151 1220 1883 1.0
15 10000000 5 1558 6418485.237483953 427899.01583226357 108 924 1861 1.0
20 10000000 5 950 5015974.736842105 250798.73684210525 195 536 1012 0.4765176
20 10000000 5 1195 8368200.836820084 418410.04184100416 159 888 1569 1.0
20 10000000 5 1270 7873960.629921259 393698.031496063 186 798 1649 0.999993
20 10000000 5 1250 8000000.0 400000.0 203 757 1654 1.0
6 10000000 5 978 1753544.9897750511 292257.49829584185 220 854 1004 0.1714967
6 10000000 5 3097 160353.89086212465 26725.648477020775 36 3097 3097 0.0496616
6 10000000 5 3226 2879847.489150651 479974.5815251085 251 2822 4000 0.9290388
6 10000000 5 5291 1890001.8900018898 315000.31500031496 422 5051 5607 1.0
10 10000000 5 983 3445174.97456765 344517.497456765 104 828 1001 0.3386607
10 10000000 5 1478 6765899.864682003 676589.9864682003 167 1079 1773 1.0
10 10000000 5 2032 4921259.842519685 492125.98425196845 189 1542 2341 1.0
10 10000000 5 1771 5646527.385657821 564652.7385657821 299 1454 2393 1.0
15 10000000 5 1045 2875256.459330144 191683.76395534293 111 957 1068 0.3004643
15 10000000 5 1762 4179494.892167991 278632.9928111994 155 1049 2011 0.736427
15 10000000 5 2184 4578754.578754579 305250.3052503053 125 1352 2640 1.0
15 10000000 5 1461 6844626.967830253 456308.4645220169 150 1061 1667 1.0
20 10000000 5 1045 5004634.449760766 250231.7224880383 237 550 1140 0.5229843
20 10000000 5 1371 7156369.803063457 357818.49015317287 217 941 2030 0.9811383
20 10000000 5 1385 7220216.606498195 361010.83032490977 161 825 1793 1.0
20 10000000 5 1367 7315288.953913679 365764.447695684 153 988 1700 1.0
6 10000000 5 944 2793647.245762712 465607.8742937853 164 636 1006 0.2637203
6 10000000 5 4720 1414813.3474576273 235802.22457627123 213 4313 4966 0.6677919
6 10000000 5 2878 3474635.1633078526 579105.8605513087 394 2207 3317 1.0
6 10000000 5 5419 1544869.3485883006 257478.22476471678 507 4225 6003 0.8371647
10 10000000 5 969 4231306.501547988 423130.65015479876 88 718 1005 0.4100136
10 10000000 5 1681 5737509.220701963 573750.9220701962 143 1372 1968 0.9644753
10 10000000 5 1710 5847953.216374269 584795.3216374269 192 1264 1948 1.0
10 10000000 5 1894 5279831.045406547 527983.1045406547 180 1673 2056 1.0
15 10000000 5 998 3544802.6052104207 236320.17368069472 93 937 1009 0.3537713
15 10000000 5 1499 6671114.0760507 444740.93840338 158 1021 1878 1.0
15 10000000 5 1832 5458515.283842795 363901.018922853 101 1333 2125 1.0
15 10000000 5 1661 6020469.5966285365 401364.6397752358 97 875 2224 1.0
20 10000000 5 974 5205717.659137577 260285.88295687884 217 534 1044 0.5070369
20 10000000 5 1280 7812500.0 390625.0 174 665 1672 1.0
20 10000000 5 1368 7309941.5204678355 365497.0760233918 183 848 1702 1.0
20 10000000 5 1284 7788161.993769471 389408.0996884735 151 846 1573 1.0
6 10000000 5 942 3048141.1889596605 508023.53149327677 137 645 1002 0.2871349
6 10000000 5 5028 1113271.0819411299 185545.18032352164 241 4879 5195 0.5597527
6 10000000 5 3917 862434.2609139648 143739.0434856608 446 3505 4000 0.3378155
6 10000000 5 5431 1571329.221137912 261888.20352298534 350 5080 5940 0.8533889
10 10000000 5 1000 3650700.0 365070.0 67 1000 1001 0.36507
10 10000000 5 1743 5248293.746414228 524829.3746414229 158 1375 1986 0.9147776
10 10000000 5 1542 6485084.306095979 648508.4306095979 191 1278 1790 1.0
10 10000000 5 1748 5720823.798627002 572082.3798627002 204 1502 1958 1.0
15 10000000 5 1176 4006302.7210884355 267086.84807256237 144 859 1217 0.4711412
15 10000000 5 1467 6816632.583503749 454442.1722335833 123 1211 1796 1.0
15 10000000 5 1889 5293806.246691371 352920.41644609143 143 1495 2201 1.0
15 10000000 5 1547 6464124.111182935 430941.60741219565 136 1123 1844 1.0
20 10000000 5 924 4952768.398268398 247638.4199134199 156 470 1023 0.4576358
20 10000000 5 1360 7352941.176470588 367647.0588235294 167 810 1721 1.0
20 10000000 5 1312 7621951.219512194 381097.5609756097 164 845 1599 1.0
20 10000000 5 1409 7097232.079488999 354861.60397445 202 1006 1878 1.0
6 10000000 5 1005 2408147.2636815924 401357.8772802654 90 1005 1005 0.2420188
6 10000000 5 3119 178268.35524206475 29711.392540344124 40 3119 3120 0.0556019
6 10000000 5 2640 3787878.7878787876 631313.1313131313 193 2372 3095 1.0
6 10000000 5 5338 1583487.4484825777 263914.5747470963 448 4944 6005 0.8452656
10 10000000 5 958 4571418.580375783 457141.8580375783 84 804 1005 0.4379419
10 10000000 5 1697 4943357.100766057 494335.7100766057 162 1057 2001 0.8388877
10 10000000 5 1595 6269592.476489028 626959.2476489028 199 1167 1928 1.0
10 10000000 5 1924 5197505.1975051975 519750.5197505198 176 1452 2306 1.0
15 10000000 5 1127 4207394.853593611 280492.99023957405 179 867 1205 0.4741734
15 10000000 5 1352 7396449.704142012 493096.6469428008 125 1036 1674 1.0
15 10000000 5 2047 4885197.850512945 325679.856700863 131 1265 2439 1.0
15 10000000 5 1525 6557377.049180328 437158.4699453552 152 1146 1790 1.0
20 10000000 5 977 5393017.400204709 269650.87001023546 255 501 1117 0.5268978
20 10000000 5 1461 6844626.967830253 342231.34839151264 180 1115 1749 1.0
20 10000000 5 1498 6675567.423230975 333778.37116154877 134 604 1933 1.0
20 10000000 5 1315 7604562.737642586 380228.1368821293 156 697 1648 1.0
6 10000000 5 958 2417245.3027139874 402874.2171189979 138 811 1001 0.2315721
6 10000000 5 2995 79423.7061769616 13237.284362826933 26 2995 2996 0.0237874
6 10000000 5 2775 3603603.603603604 600600.6006006006 181 2420 3103 1.0
6 10000000 5 5528 1510460.383502171 251743.39725036183 438 5296 6021 0.8349825
10 10000000 5 957 4258398.119122257 425839.81191222573 141 835 1001 0.4075287
10 10000000 5 1683 5597518.71657754 559751.8716577541 177 1424 1886 0.9420624
10 10000000 5 1777 5627462.014631402 562746.2014631402 231 1361 2108 1.0
10 10000000 5 2023 4943153.732081068 494315.3732081068 86 1561 2457 1.0
15 10000000 5 1140 4120825.4385964917 274721.69590643275 202 957 1208 0.4697741
15 10000000 5 1472 6793478.260869565 452898.5507246377 156 1248 1749 1.0
15 10000000 5 2038 4906771.344455349 327118.08963035664 127 1480 2368 1.0
15 10000000 5 1504 6648936.170212766 443262.41134751774 159 1065 1792 1.0
20 10000000 5 920 4856221.739130435 242811.08695652173 174 696 1003 0.4467724
20 10000000 5 1365 7326007.326007326 366300.3663003663 142 823 1759 1.0
20 10000000 5 1299 7698229.407236336 384911.4703618168 177 782 1637 1.0
20 10000000 5 1305 7662835.249042146 383141.7624521073 150 687 1580 1.0
6 10000000 5 1006 1544672.9622266402 257445.49370444004 196 1006 1006 0.1553941
6 10000000 5 3794 631966.5260938323 105327.75434897206 250 3625 3837 0.2397681
6 10000000 5 3811 2012595.906586198 335432.65109769965 379 3516 4003 0.7670003
6 10000000 5 3189 3135779.2411414236 522629.8735235706 145 2664 3602 1.0
10 10000000 5 972 2137691.358024691 213769.13580246913 269 890 1001 0.2077836
10 10000000 5 1858 3713679.7631862215 371367.9763186221 196 1204 2003 0.6900017
10 10000000 5 1889 5293806.246691371 529380.6246691372 177 1290 2229 1.0
10 10000000 5 2319 4312203.5360069 431220.35360068997 136 1971 2666 1.0
15 10000000 5 989 2623806.8756319513 174920.4583754634 116 856 1003 0.2594945
15 10000000 5 1830 3859655.737704918 257310.3825136612 212 1281 2001 0.706317
15 10000000 5 2267 4411116.0123511255 294074.4008234084 153 1661 2760 1.0
15 10000000 5 1728 5787037.037037037 385802.4691358025 144 1235 2094 1.0
20 10000000 5 886 6080449.20993228 304022.460496614 287 444 1025 0.5387278
20 10000000 5 1399 7147962.8305932805 357398.14152966405 165 985 1744 1.0
20 10000000 5 1570 6369426.751592357 318471.33757961786 190 1079 2112 1.0
20 10000000 5 1430 6993006.993006993 349650.34965034964 161 1009 1752 1.0
6 10000000 5 1000 2204578.0 367429.6666666667 53 1000 1000 0.2204578
6 10000000 5 3360 174194.04761904763 29032.341269841272 34 3360 3361 0.0585292
6 10000000 5 2906 3441156.2284927736 573526.038082129 286 2649 3103 1.0
6 10000000 5 5589 1357366.2551440329 226227.70919067215 206 5299 6003 0.758632
10 10000000 5 937 4107736.392742796 410773.6392742796 197 483 1005 0.3848949
10 10000000 5 1613 5381959.082455053 538195.9082455053 234 944 2004 0.86811
10 10000000 5 1938 5159958.720330237 515995.87203302374 86 1677 2223 1.0
10 10000000 5 1619 6176652.254478073 617665.2254478072 135 1326 2090 1.0
15 10000000 5 1168 3877235.44520548 258482.36301369866 140 1023 1211 0.4528611
15 10000000 5 1513 6546052.875082618 436403.52500550786 154 1186 1965 0.9904178
15 10000000 5 1531 6531678.641410843 435445.2427607228 137 777 1941 1.0
15 10000000 5 1561 6406149.2632927615 427076.61755285074 144 1335 1838 0.9999999
20 10000000 5 1032 5152715.116279069 257635.75581395347 189 598 1142 0.5317602
20 10000000 5 1385 7220216.606498195 361010.83032490977 206 832 1771 1.0
20 10000000 5 1298 7704160.2465331275 385208.0123266564 155 672 1630 1.0
20 10000000 5 1440 6944444.444444445 347222.22222222225 197 843 1806 1.0
