numberThread numberMessages shift timePrecessingRing throughputRing throughputChain latencyChain minTimeWorkThread maxTimeWorkThread percentWork
6 10000000 5 2372 625961.2141652614 104326.86902754357 182 2372 2372 0.148478
6 10000000 5 2914 1292469.4577899794 215411.5762983299 146 2914 2915 0.3766256
6 10000000 5 4001 2499375.156210947 416562.5260351578 231 4001 4001 1.0
6 10000000 5 6000 1666666.6666666667 277777.7777777778 201 6000 6000 1.0
10 10000000 5 1015 3359555.6650246307 335955.5665024631 110 1015 1015 0.3409949
10 10000000 5 2003 4880761.857214179 488076.1857214179 183 2003 2003 0.9776166
10 10000000 5 4003 2498126.405196103 249812.6405196103 367 4003 4003 1.0
10 10000000 5 6001 1666388.9351774703 166638.89351774703 214 6001 6002 1.0
15 10000000 5 1366 3733400.4392386526 248893.36261591018 235 1005 1392 0.5099825
15 10000000 5 2004 4990019.96007984 332667.99733865605 240 2004 2005 1.0
15 10000000 5 4005 2496878.9013732835 166458.59342488556 227 4005 4006 1.0
15 10000000 5 6003 1665833.7497917707 111055.58331945138 206 6003 6004 1.0
20 10000000 5 1444 3871312.3268698063 193565.6163434903 300 1436 1445 0.5590175
20 10000000 5 2051 4875670.404680643 243783.52023403216 288 2024 2056 1.0
20 10000000 5 4045 2472187.886279357 123609.39431396786 258 4025 4047 1.0
20 10000000 5 6055 1651527.6630883568 82576.38315441784 279 6042 6072 1.0
6 10000000 5 1005 2228517.4129353235 371419.5688225539 228 1005 1005 0.223966
6 10000000 5 2005 3865925.1870324193 644320.8645054032 260 2005 2005 0.775118
6 10000000 5 4000 2500000.0 416666.6666666667 341 4000 4000 1.0
6 10000000 5 6001 1666388.9351774703 277731.48919624503 118 6001 6002 1.0
10 10000000 5 1005 5988589.054726369 598858.9054726369 144 1005 1005 0.6018532
10 10000000 5 2000 5000000.0 500000.0 220 2000 2000 1.0
10 10000000 5 4002 2498750.6246876563 249875.06246876562 198 4002 4003 1.0
10 10000000 5 6005 1665278.9342214821 166527.89342214822 190 6005 6005 1.0
15 10000000 5 1220 4573286.8852459015 304885.7923497268 231 1220 1221 0.557941
15 10000000 5 2003 4992511.2331502745 332834.0822100183 228 2003 2003 1.0
15 10000000 5 4003 2498126.405196103 166541.76034640687 282 4003 4004 1.0
15 10000000 5 6003 1665833.7497917707 111055.58331945138 232 6003 6004 1.0
20 10000000 5 1398 4568130.901287554 228406.5450643777 299 1011 1424 0.6386247
20 10000000 5 2035 4914004.9140049135 245700.24570024566 274 2002 2043 1.0
20 10000000 5 4053 2467308.1667900323 123365.40833950162 260 4026 4056 1.0
20 10000000 5 6026 1659475.605708596 82973.7802854298 250 6018 6028 1.0
6 10000000 5 1159 2765766.1777394307 460961.0296232384 148 1159 1159 0.3205523
6 10000000 5 2002 4194838.661338662 699139.7768897769 148 2002 2002 0.8398067
6 10000000 5 4004 1103790.4595404596 183965.07659007658 1110 4004 4004 0.4419577
6 10000000 5 8974 1114330.287497214 185721.714582869 216 8974 8975 1.0
10 10000000 5 1002 6221316.367265469 622131.6367265469 246 1002 1002 0.6233759
