numberThread numberMessages shift timePrecessingRing throughputRing throughputChain latencyChain minTimeWorkThread maxTimeWorkThread percentWork
10 10000000 5 2002 4995004.995004996 499500.4995004996 188 2002 2003 1.0
10 10000000 5 4000 2500000.0 250000.0 287 4000 4001 1.0
10 10000000 5 6000 1666666.6666666667 166666.6666666667 151 6000 6000 1.0
15 10000000 5 1004 2962525.896414343 197501.72642762287 204 1004 1005 0.2974376
15 10000000 5 2000 5000000.0 333333.3333333333 242 2000 2001 1.0
15 10000000 5 4003 2498126.405196103 166541.76034640687 237 4003 4003 1.0
15 10000000 5 6003 1665833.7497917707 111055.58331945138 198 6003 6003 1.0
20 10000000 5 1067 5616969.072164949 280848.45360824745 289 1049 1070 0.5993306
20 10000000 5 2007 4982561.036372695 249128.05181863476 239 2005 2009 1.0
20 10000000 5 4001 2499375.156210947 124968.75781054734 247 4001 4001 1.0
20 10000000 5 6017 1661957.7862722287 83097.88931361143 232 6008 6018 1.0
6 10000000 5 1005 2445387.0646766173 407564.5107794362 210 1005 1005 0.2457614
6 10000000 5 2001 3796463.7681159424 632743.9613526571 206 2001 2001 0.7596724
6 10000000 5 4001 2499375.156210947 416562.5260351578 328 4001 4002 1.0
6 10000000 5 6000 1666666.6666666667 277777.7777777778 241 6000 6000 1.0
10 10000000 5 1005 5996691.542288558 599669.1542288557 225 1005 1006 0.6026675
10 10000000 5 2001 4997501.249375313 499750.12493753125 212 2001 2001 1.0
10 10000000 5 4009 2494387.6278373655 249438.76278373654 223 4009 4010 1.0
10 10000000 5 6007 1664724.48809722 166472.448809722 269 6007 6008 1.0
15 10000000 5 1201 4853528.726061615 323568.581737441 265 1005 1216 0.5829088
15 10000000 5 2005 4987531.172069826 332502.0781379884 190 2005 2006 1.0
15 10000000 5 4002 2498750.6246876563 166583.37497917708 242 4002 4002 1.0
15 10000000 5 6008 1664447.4034620505 110963.16023080336 201 6006 6009 1.0
20 10000000 5 1423 4430617.006324666 221530.8503162333 347 1419 1425 0.6304768
20 10000000 5 2028 4930966.4694280075 246548.32347140036 215 2018 2029 1.0
20 10000000 5 4008 2495009.98003992 124750.49900199601 273 4004 4010 1.0
20 10000000 5 6028 1658925.0165892502 82946.25082946251 269 6019 6030 1.0
6 10000000 5 1105 2790765.6108597284 465127.60180995474 222 1105 1105 0.3083796
6 10000000 5 2004 4180430.1397205587 696738.3566200931 181 2004 2004 0.8377582
6 10000000 5 4000 2500000.0 416666.6666666667 144 4000 4001 1.0
6 10000000 5 6001 1666388.9351774703 277731.48919624503 247 6001 6001 1.0
10 10000000 5 1000 5988343.0 598834.3 262 1000 1001 0.5988343
10 10000000 5 2005 4987531.172069826 498753.1172069826 158 2005 2005 1.0
10 10000000 5 4000 2500000.0 250000.0 234 4000 4001 1.0
10 10000000 5 6001 1666388.9351774703 166638.89351774703 219 6001 6001 1.0
15 10000000 5 1195 4455886.192468619 297059.07949790795 291 1005 1210 0.5324784
15 10000000 5 2005 4987531.172069826 332502.0781379884 169 2005 2006 1.0
15 10000000 5 4004 2497502.497502498 166500.16650016652 212 4004 4005 1.0
15 10000000 5 6009 1664170.4110500915 110944.6940700061 186 6009 6010 1.0
20 10000000 5 1005 2888644.776119403 144432.23880597015 242 1002 1007 0.2903088
20 10000000 5 2041 4899559.039686428 244977.9519843214 242 2023 2043 1.0
20 10000000 5 4040 2475247.5247524753 123762.37623762377 216 4022 4043 1.0
20 10000000 5 6039 1655903.2952475576 82795.16476237788 215 6016 6042 1.0
6 10000000 5 1043 1619779.4822627038 269963.24704378395 150 1043 1043 0.168943
6 10000000 5 2001 3500079.460269865 583346.5767116442 432 2001 2002 0.7003659
6 10000000 5 6911 1446968.6007813632 241161.43346356053 144 6911 6912 1.0
6 10000000 5 6001 1666388.9351774703 277731.48919624503 427 6001 6002 1.0
10 10000000 5 2975 231580.16806722688 23158.016806722688 21 2975 2976 0.0688951
10 10000000 5 2003 4992511.2331502745 499251.12331502745 216 2003 2004 1.0
10 10000000 5 4001 2499375.156210947 249937.51562109467 192 4001 4002 1.0
10 10000000 5 6001 1666388.9351774703 166638.89351774703 232 6001 6002 1.0
15 10000000 5 1000 3563737.0 237582.46666666667 268 1000 1001 0.3563737
15 10000000 5 2008 4980079.6812749 332005.31208499335 254 2008 2008 1.0
15 10000000 5 4081 2450379.8088703747 163358.65392469164 238 4081 4081 1.0
15 10000000 5 6005 1665278.9342214821 111018.59561476548 224 6005 6005 1.0
20 10000000 5 1030 5353533.980582524 267676.6990291262 298 1003 1034 0.551414
20 10000000 5 2068 4835589.941972921 241779.49709864604 264 2025 2076 1.0
20 10000000 5 4048 2470355.7312252964 123517.78656126482 284 4032 4053 1.0
20 10000000 5 6057 1650982.3344890208 82549.11672445104 256 6019 6063 1.0
6 10000000 5 1020 2159182.3529411764 359863.7254901961 102 1020 1021 0.2202366
6 10000000 5 2001 4418923.538230885 736487.2563718142 178 2001 2001 0.8842266
6 10000000 5 4001 1102774.5563609097 183795.75939348494 997 4001 4002 0.4412201
6 10000000 5 6003 1665833.7497917707 277638.95829862845 342 6003 6004 1.0
10 10000000 5 2909 126549.6734272946 12654.96734272946 16 2909 2909 0.0368133
10 10000000 5 2003 4930895.656515227 493089.56565152266 198 2003 2003 0.9876584
10 10000000 5 4004 2497502.497502498 249750.2497502498 214 4004 4005 1.0
10 10000000 5 6001 1666388.9351774703 166638.89351774703 254 6001 6002 1.0
15 10000000 5 1193 4662660.51969824 310844.0346465493 322 1000 1207 0.5562554
15 10000000 5 2011 4168144.7041272996 277876.3136084866 291 2001 2012 0.8382139
15 10000000 5 4000 2500000.0 166666.66666666666 174 4000 4000 1.0
15 10000000 5 6004 1665556.2958027984 111037.08638685322 215 6004 6005 1.0
20 10000000 5 1053 4969013.295346629 248450.66476733144 298 1036 1056 0.5232371
20 10000000 5 2023 4943153.732081068 247157.6866040534 255 2014 2024 1.0
20 10000000 5 4050 2469135.8024691357 123456.79012345678 246 4032 4053 1.0
20 10000000 5 6044 1654533.421575116 82726.6710787558 263 6017 6047 1.0
6 10000000 5 1065 2919186.854460094 486531.1424100157 128 1065 1066 0.3108934
6 10000000 5 2003 3432954.568147778 572159.0946912963 409 2003 2003 0.6876208
6 10000000 5 4002 2498750.6246876563 416458.43744794274 99 4002 4002 1.0
6 10000000 5 6004 1665556.2958027984 277592.71596713306 263 6004 6005 1.0
10 10000000 5 2912 105489.01098901099 10548.901098901099 21 2912 2912 0.0307184
10 10000000 5 2002 4995004.995004996 499500.4995004996 229 2002 2003 1.0
10 10000000 5 4003 2498126.405196103 249812.6405196103 193 4003 4004 1.0
10 10000000 5 6001 1666388.9351774703 166638.89351774703 183 6001 6001 1.0
15 10000000 5 1200 4146496.666666667 276433.1111111111 265 1004 1215 0.4975796
15 10000000 5 2003 4992511.2331502745 332834.0822100183 208 2003 2004 1.0
15 10000000 5 4005 2496878.9013732835 166458.59342488556 231 4005 4005 1.0
15 10000000 5 6005 1665278.9342214821 111018.59561476548 215 6005 6006 1.0
20 10000000 5 1052 3791758.5551330796 189587.92775665398 292 1025 1055 0.398893
20 10000000 5 2039 4904364.884747425 245218.24423737125 270 2018 2042 1.0
20 10000000 5 4023 2485707.183693761 124285.35918468804 256 4015 4025 1.0
20 10000000 5 6056 1651254.9537648612 82562.74768824306 265 6028 6061 1.0
6 10000000 5 1003 1930019.9401794618 321669.9900299103 269 1003 1004 0.193581
6 10000000 5 2005 3384745.6359102246 564124.2726517041 422 2005 2005 0.6786415
6 10000000 5 4000 2500000.0 416666.6666666667 307 4000 4001 1.0
6 10000000 5 6004 1665556.2958027984 277592.71596713306 619 6004 6004 1.0
10 10000000 5 1001 2826395.6043956047 282639.56043956045 134 1001 1002 0.2829222
10 10000000 5 2000 5000000.0 500000.0 175 2000 2001 1.0
10 10000000 5 4001 2499375.156210947 249937.51562109467 264 4001 4001 1.0
10 10000000 5 6005 1665278.9342214821 166527.89342214822 225 6005 6005 1.0
15 10000000 5 1185 3882227.004219409 258815.13361462727 285 1001 1199 0.4600439
15 10000000 5 2004 4990019.96007984 332667.99733865605 239 2004 2005 1.0
15 10000000 5 4000 2500000.0 166666.66666666666 219 4000 4000 1.0
15 10000000 5 6000 1666666.6666666667 111111.11111111111 250 6000 6001 1.0
20 10000000 5 1081 4880840.888066605 244042.04440333025 302 1047 1088 0.5276189
20 10000000 5 2052 4873294.346978557 243664.71734892786 239 2024 2056 1.0
20 10000000 5 4029 2482005.460412013 124100.27302060064 268 4012 4032 1.0
20 10000000 5 6061 1649892.756970797 82494.63784853985 242 6025 6067 1.0
6 10000000 5 1223 1184267.375306623 197377.89588443717 370 1223 1223 0.1448359
6 10000000 5 2000 3892175.0 648695.8333333334 259 2000 2000 0.778435
6 10000000 5 4004 2497502.497502498 416250.4162504163 310 4004 4005 1.0
6 10000000 5 6002 1666111.2962345886 277685.2160390981 254 6002 6002 1.0
10 10000000 5 1001 5854227.7722277725 585422.7772227773 243 1001 1001 0.5860082
10 10000000 5 2003 4992511.2331502745 499251.12331502745 189 2003 2004 1.0
10 10000000 5 4004 2497502.497502498 249750.2497502498 181 4004 4004 1.0
10 10000000 5 6003 1665833.7497917707 166583.37497917708 196 6003 6003 1.0
15 10000000 5 1202 4879783.693843594 325318.9129229063 209 1006 1217 0.58655
15 10000000 5 2000 5000000.0 333333.3333333333 223 2000 2001 1.0
15 10000000 5 4000 2500000.0 166666.66666666666 200 4000 4000 1.0
15 10000000 5 6001 1666388.9351774703 111092.59567849802 245 6001 6001 1.0
20 10000000 5 1036 3756387.0656370656 187819.35328185328 293 1003 1043 0.3891617
20 10000000 5 2067 4837929.366231252 241896.4683115626 233 2029 2073 1.0
20 10000000 5 4009 2494387.6278373655 124719.38139186827 233 4005 4011 1.0
20 10000000 5 6037 1656451.8800728838 82822.59400364419 256 6006 6042 1.0
